T N pi
0.000011 1 3.3
0.000009 2 3.15
0.000033 3 3.143
0.000124 4 3.1417
0.001305 5 3.14161
0.009560 6 3.141597
0.089050 7 3.1415970
0.848330 8 3.14159679
8.129074 9 3.141596794
80.297815 10 3.1415967941
799.603643 11 3.14159679413
