T N pi
0.000006 1 3.3
0.000005 2 3.15
0.000022 3 3.143
0.000077 4 3.1417
0.000887 5 3.14161
0.007380 6 3.141597
0.063485 7 3.1415970
0.569481 8 3.14159679
5.502096 9 3.141596794
54.338883 10 3.1415967941
542.225012 11 3.14159679413

