T N pi
0.00 1 3.0
0.00 2 3.13
0.02 3 3.141
0.00 4 3.1415
0.01 5 3.14158
0.08 6 3.141592
0.82 7 3.1415926
9.18 8 3.14159264
100.59 9 3.141592653
1029.64 10 3.1415926535
